chroma_cc,chroma_k,chroma_r,scalogram_cc,scalogram_k,scalogram_r,class
0.80015,6,-0.13898,0.83517,6.375,-0.078331,classical
0.81667,5.875,-0.25714,0.83517,6.375,-0.078331,classical
0.81667,5.875,-0.25714,0.837,6.25,-0.10709,classical
0.81667,5.875,-0.25714,0.83517,6.375,-0.078331,classical
0.82247,6,-0.29607,0.83517,6.375,-0.078331,classical
0.81667,5.875,-0.25714,0.84127,6.5,-0.054767,classical
0.79226,5.875,-0.17143,0.83517,6.375,-0.078331,classical
0.82247,6,-0.29607,0.83517,6.375,-0.078331,classical
0.82247,6,-0.29607,0.83517,6.375,-0.078331,classical
0.80506,5.875,-0.054269,0.83517,6.375,-0.078331,classical
0.8061,5.875,-0.14194,0.83517,6.375,-0.078331,classical
0.79226,5.875,-0.17143,0.84127,6.5,-0.054767,classical
0.84226,5.875,-0.044184,0.83517,6.375,-0.078331,classical
0.8061,5.875,-0.14194,0.83517,6.375,-0.078331,classical
0.79226,5.875,-0.17143,0.83517,6.375,-0.078331,classical
0.80015,6,-0.13898,0.837,6.25,-0.10709,classical
0.81875,6.25,-0.058478,0.81964,6.5,-0.048739,classical
0.79836,5.875,-0.22208,0.83517,6.375,-0.078331,classical
0.79836,5.875,-0.22208,0.837,6.25,-0.10709,classical
0.79673,6,-0.22785,0.81845,6.75,0.023569,classical
0.81667,5.875,-0.25714,0.81964,6.5,-0.048739,classical
0.80015,6,-0.13898,0.81964,6.5,-0.048739,classical
0.80015,6,-0.13898,0.81483,6.625,-0.007331,classical
0.79836,5.875,-0.22208,0.81483,6.625,-0.007331,classical
0.81667,5.875,-0.25714,0.81964,6.5,-0.048739,classical
0.81667,5.875,-0.25714,0.84127,6.5,-0.054767,classical
0.80506,5.875,-0.054269,0.84127,6.5,-0.054767,classical
0.79226,5.875,-0.17143,0.84127,6.5,-0.054767,classical
0.8061,5.875,-0.14194,0.84127,6.5,-0.054767,classical
0.8061,5.875,-0.14194,0.84127,6.5,-0.054767,classical
0.8061,5.875,-0.14194,0.84127,6.5,-0.054767,classical
0.79226,5.875,-0.17143,0.84127,6.5,-0.054767,classical
0.80506,5.875,-0.054269,0.84127,6.5,-0.054767,classical
0.80506,5.875,-0.054269,0.84127,6.5,-0.054767,classical
0.8061,5.875,-0.14194,0.84127,6.5,-0.054767,classical
0.81667,5.875,-0.25714,0.83517,6.375,-0.078331,classical
0.79836,5.875,-0.22208,0.83517,6.375,-0.078331,classical
0.80015,6,-0.13898,0.83517,6.375,-0.078331,classical
0.79226,5.875,-0.17143,0.84127,6.5,-0.054767,classical
0.79226,5.875,-0.17143,0.83517,6.375,-0.078331,classical
0.79836,5.875,-0.22208,0.83517,6.375,-0.078331,classical
0.81116,6.125,-0.10813,0.83517,6.375,-0.078331,classical
0.82247,6,-0.29607,0.837,6.25,-0.10709,classical
0.81667,5.875,-0.25714,0.83517,6.375,-0.078331,classical
0.79226,5.875,-0.17143,0.83517,6.375,-0.078331,classical
0.80015,6,-0.13898,0.81964,6.5,-0.048739,classical
0.81116,6.125,-0.10813,0.83517,6.375,-0.078331,classical
0.81667,5.875,-0.25714,0.81964,6.5,-0.048739,classical
0.79836,5.875,-0.22208,0.83517,6.375,-0.078331,classical
0.79836,5.875,-0.22208,0.81483,6.625,-0.007331,classical
0.79836,5.875,-0.22208,0.83517,6.375,-0.078331,classical
0.79226,5.875,-0.17143,0.84127,6.5,-0.054767,classical
0.81667,5.875,-0.25714,0.81483,6.625,-0.007331,classical
0.81875,6.25,-0.058478,0.837,6.25,-0.10709,classical
0.81667,5.875,-0.25714,0.83517,6.375,-0.078331,classical
0.79226,5.875,-0.17143,0.83517,6.375,-0.078331,classical
0.8061,5.875,-0.14194,0.84127,6.5,-0.054767,classical
0.79226,5.875,-0.17143,0.837,6.25,-0.10709,classical
0.80506,5.875,-0.054269,0.83517,6.375,-0.078331,classical
0.8061,5.875,-0.14194,0.84127,6.5,-0.054767,classical
0.79226,5.875,-0.17143,0.83517,6.375,-0.078331,classical
0.79226,5.875,-0.17143,0.83517,6.375,-0.078331,classical
0.81667,5.875,-0.25714,0.84127,6.5,-0.054767,classical
0.79226,5.875,-0.17143,0.84127,6.5,-0.054767,classical
0.8061,5.875,-0.14194,0.8192,6.5,-0.048739,classical
0.81667,5.875,-0.25714,0.84127,6.5,-0.054767,classical
0.79226,5.875,-0.17143,0.83517,6.375,-0.078331,classical
0.81667,5.875,-0.25714,0.83517,6.375,-0.078331,classical
0.81667,5.875,-0.25714,0.84127,6.5,-0.054767,classical
0.81667,5.875,-0.25714,0.83517,6.375,-0.078331,classical
0.81667,5.875,-0.25714,0.83517,6.375,-0.078331,classical
0.81667,5.875,-0.25714,0.81964,6.5,-0.048739,classical
0.81875,6.25,-0.058478,0.83517,6.375,-0.078331,classical
0.80015,6,-0.13898,0.83517,6.375,-0.078331,classical
0.80015,6,-0.13898,0.83517,6.375,-0.078331,classical
0.8061,5.875,-0.14194,0.84127,6.5,-0.054767,classical
0.80015,6,-0.13898,0.84127,6.5,-0.054767,classical
0.81667,5.875,-0.25714,0.83517,6.375,-0.078331,classical
0.80015,6,-0.13898,0.837,6.25,-0.10709,classical
0.81667,5.875,-0.25714,0.84127,6.5,-0.054767,classical
0.81116,6.125,-0.10813,0.83517,6.375,-0.078331,classical
0.82247,6,-0.29607,0.84127,6.5,-0.054767,classical
0.81875,6.25,-0.058478,0.83517,6.375,-0.078331,classical
0.8061,5.875,-0.14194,0.83517,6.375,-0.078331,classical
0.79226,5.875,-0.17143,0.83517,6.375,-0.078331,classical
0.79226,5.875,-0.17143,0.83517,6.375,-0.078331,classical
0.81667,5.875,-0.25714,0.84127,6.5,-0.054767,classical
0.8061,5.875,-0.14194,0.83517,6.375,-0.078331,classical
0.84226,5.875,-0.044184,0.84127,6.5,-0.054767,classical
0.8061,5.875,-0.14194,0.81483,6.625,-0.007331,classical
0.80506,5.875,-0.054269,0.83517,6.375,-0.078331,classical
0.80506,5.875,-0.054269,0.84127,6.5,-0.054767,classical
0.8061,5.875,-0.14194,0.84127,6.5,-0.054767,classical
0.8061,5.875,-0.14194,0.84127,6.5,-0.054767,classical
0.80506,5.875,-0.054269,0.83517,6.375,-0.078331,classical
0.81116,6.125,-0.10813,0.83517,6.375,-0.078331,country
0.81116,6.125,-0.10813,0.81915,6.75,-0.0032362,country
0.82247,6,-0.29607,0.81964,6.5,-0.048739,country
0.81667,5.875,-0.25714,0.84127,6.5,-0.054767,country
0.81667,5.875,-0.25714,0.81483,6.625,-0.007331,country
0.79836,5.875,-0.22208,0.81483,6.625,-0.007331,country
0.80015,6,-0.13898,0.81845,6.75,0.023569,country
0.82188,5.875,-0.18497,0.81186,6.875,0.048216,country
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.81186,6.875,0.048216,country
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,country
0.83105,6,-0.18946,0.82044,6.875,0.070349,country
0.90278,5.625,-0.12816,0.81845,6.75,0.023569,country
0.83105,6,-0.18946,0.82406,6.625,-0.020651,country
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,country
0.81875,6.25,-0.058478,0.81845,6.75,0.023569,country
0.82882,5.875,-0.18497,0.81845,6.75,0.023569,country
0.81116,6.125,-0.10813,0.81845,6.75,0.023569,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,country
0.87346,5.875,-0.14288,0.81483,6.625,-0.007331,country
0.80312,6,-0.23271,0.81964,6.5,-0.048739,country
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,country
0.82019,6.25,-0.10337,0.81964,6.5,-0.048739,country
0.81875,6.25,-0.058478,0.837,6.25,-0.10709,country
0.83105,6,-0.18946,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,country
0.84772,6,-0.13031,0.81964,6.5,-0.048739,country
0.81875,6.25,-0.058478,0.81483,6.625,-0.007331,country
0.81116,6.125,-0.10813,0.81845,6.75,0.023569,country
0.81116,6.125,-0.10813,0.81483,6.625,-0.007331,country
0.82188,5.875,-0.18497,0.81964,6.5,-0.048739,country
0.81875,6.25,-0.058478,0.81483,6.625,-0.007331,country
0.81116,6.125,-0.10813,0.81483,6.625,-0.007331,country
0.81667,5.875,-0.25714,0.81845,6.75,0.023569,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.87346,5.875,-0.14288,0.82257,6.375,-0.057279,country
0.83105,6,-0.18946,0.81964,6.5,-0.048739,country
0.83105,6,-0.18946,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.82406,6.625,-0.020651,country
0.87346,5.875,-0.14288,0.82406,6.625,-0.020651,country
0.83105,6,-0.18946,0.81845,6.75,0.023569,country
0.82882,5.875,-0.18497,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.81483,6.625,-0.007331,country
0.81116,6.125,-0.10813,0.84127,6.5,-0.054767,country
0.81116,6.125,-0.10813,0.81186,6.875,0.048216,country
0.83105,6,-0.18946,0.82257,6.375,-0.057279,country
0.87346,5.875,-0.14288,0.82406,6.625,-0.020651,country
0.82188,5.875,-0.18497,0.81845,6.75,0.023569,country
0.81875,6.25,-0.058478,0.82257,6.375,-0.057279,country
0.83105,6,-0.18946,0.81845,6.75,0.023569,country
0.82188,5.875,-0.18497,0.81483,6.625,-0.007331,country
0.81131,6,-0.15476,0.81964,6.5,-0.048739,country
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,country
0.83105,6,-0.18946,0.81964,6.5,-0.048739,country
0.83105,6,-0.18946,0.82406,6.625,-0.020651,country
0.81116,6.125,-0.10813,0.80923,6.75,0.012532,country
0.81116,6.125,-0.10813,0.81186,6.875,0.048216,country
0.81875,6.25,-0.058478,0.81915,6.75,-0.0032362,country
0.81116,6.125,-0.10813,0.82406,6.625,-0.020651,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.81845,6.75,0.023569,country
0.81116,6.125,-0.10813,0.81845,6.75,0.023569,country
0.81875,6.25,-0.058478,0.81845,6.75,0.023569,country
0.81131,6,-0.15476,0.82406,6.625,-0.020651,country
0.81875,6.25,-0.058478,0.82406,6.625,-0.020651,country
0.83105,6,-0.18946,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.82406,6.625,-0.020651,country
0.80015,6,-0.13898,0.81964,6.5,-0.048739,country
0.82247,6,-0.29607,0.81483,6.625,-0.007331,country
0.81116,6.125,-0.10813,0.84127,6.5,-0.054767,country
0.81116,6.125,-0.10813,0.84127,6.5,-0.054767,country
0.84772,6,-0.13031,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.81875,6.25,-0.058478,0.81186,6.875,0.048216,country
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.83517,6.375,-0.078331,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.81875,6.25,-0.058478,0.81483,6.625,-0.007331,country
0.87346,5.875,-0.14288,0.81915,6.75,-0.0032362,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.81116,6.125,-0.10813,0.84127,6.5,-0.054767,country
0.81667,5.875,-0.25714,0.81483,6.625,-0.007331,country
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,country
0.84772,6,-0.13031,0.82044,6.875,0.070349,country
0.83105,6,-0.18946,0.82044,6.875,0.070349,country
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,country
0.81116,6.125,-0.10813,0.81845,6.75,0.023569,country
0.83105,6,-0.18946,0.82044,6.875,0.070349,country
0.83105,6,-0.18946,0.82406,6.625,-0.020651,country
0.83105,6,-0.18946,0.81845,6.75,0.023569,country
0.81116,6.125,-0.10813,0.82406,6.625,-0.020651,country
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,country
0.83105,6,-0.18946,0.81845,6.75,0.023569,country
0.83105,6,-0.18946,0.81944,6.5,-0.020504,disco
0.83105,6,-0.18946,0.81845,6.75,0.023569,disco
0.82188,5.875,-0.18497,0.81483,6.625,-0.007331,disco
0.82188,5.875,-0.18497,0.81944,6.5,-0.020504,disco
0.82882,5.875,-0.18497,0.812,6.375,-0.056952,disco
0.87346,5.875,-0.14288,0.82257,6.375,-0.057279,disco
0.82882,5.875,-0.18497,0.8192,6.5,-0.048739,disco
0.87346,5.875,-0.14288,0.82257,6.375,-0.057279,disco
0.83105,6,-0.18946,0.82406,6.625,-0.020651,disco
0.82188,5.875,-0.18497,0.82406,6.625,-0.020651,disco
0.90278,5.625,-0.12816,0.81845,6.75,0.023569,disco
0.83105,6,-0.18946,0.82406,6.625,-0.020651,disco
0.87346,5.875,-0.14288,0.81944,6.5,-0.020504,disco
0.87346,5.875,-0.14288,0.82257,6.375,-0.057279,disco
0.82188,5.875,-0.18497,0.82406,6.625,-0.020651,disco
0.87346,5.875,-0.14288,0.82257,6.375,-0.057279,disco
0.90278,5.625,-0.12816,0.81944,6.5,-0.020504,disco
0.90278,5.625,-0.12816,0.81944,6.5,-0.020504,disco
0.87346,5.875,-0.14288,0.82406,6.625,-0.020651,disco
0.87346,5.875,-0.14288,0.82406,6.625,-0.020651,disco
0.87346,5.875,-0.14288,0.82406,6.625,-0.020651,disco
0.82188,5.875,-0.18497,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,disco
0.90278,5.625,-0.12816,0.82406,6.625,-0.020651,disco
0.87346,5.875,-0.14288,0.82257,6.375,-0.057279,disco
0.83105,6,-0.18946,0.82257,6.375,-0.057279,disco
0.83105,6,-0.18946,0.82406,6.625,-0.020651,disco
0.82188,5.875,-0.18497,0.82257,6.375,-0.057279,disco
0.84772,6,-0.13031,0.81845,6.75,0.023569,disco
0.82188,5.875,-0.18497,0.82406,6.625,-0.020651,disco
0.83105,6,-0.18946,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.83105,6,-0.18946,0.82257,6.375,-0.057279,disco
0.83105,6,-0.18946,0.82257,6.375,-0.057279,disco
0.87346,5.875,-0.14288,0.81944,6.5,-0.020504,disco
0.87346,5.875,-0.14288,0.82257,6.375,-0.057279,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.82406,6.625,-0.020651,disco
0.90278,5.625,-0.12816,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.81944,6.5,-0.020504,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.83105,6,-0.18946,0.82257,6.375,-0.057279,disco
0.87346,5.875,-0.14288,0.82257,6.375,-0.057279,disco
0.87346,5.875,-0.14288,0.82257,6.375,-0.057279,disco
0.82882,5.875,-0.18497,0.82406,6.625,-0.020651,disco
0.83105,6,-0.18946,0.82257,6.375,-0.057279,disco
0.81116,6.125,-0.10813,0.8192,6.5,-0.048739,disco
0.83105,6,-0.18946,0.81944,6.5,-0.020504,disco
0.87346,5.875,-0.14288,0.82406,6.625,-0.020651,disco
0.81875,6.25,-0.058478,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.82406,6.625,-0.020651,disco
0.82882,5.875,-0.18497,0.81845,6.75,0.023569,disco
0.81116,6.125,-0.10813,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.81944,6.5,-0.020504,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.82882,5.875,-0.18497,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.81944,6.5,-0.020504,disco
0.87346,5.875,-0.14288,0.8192,6.5,-0.048739,disco
0.87346,5.875,-0.14288,0.81944,6.5,-0.020504,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.90278,5.625,-0.12816,0.81944,6.5,-0.020504,disco
0.83105,6,-0.18946,0.81944,6.5,-0.020504,disco
0.83105,6,-0.18946,0.81845,6.75,0.023569,disco
0.85174,5.75,-0.2,0.81944,6.5,-0.020504,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.82882,5.875,-0.18497,0.82406,6.625,-0.020651,disco
0.83105,6,-0.18946,0.81845,6.75,0.023569,disco
0.85174,5.75,-0.2,0.81845,6.75,0.023569,disco
0.83105,6,-0.18946,0.81483,6.625,-0.007331,disco
0.83105,6,-0.18946,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.82406,6.625,-0.020651,disco
0.87346,5.875,-0.14288,0.82257,6.375,-0.057279,disco
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,disco
0.87346,5.875,-0.14288,0.82257,6.375,-0.057279,disco
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,disco
0.88135,5.75,-0.13591,0.82257,6.375,-0.057279,disco
0.87346,5.875,-0.14288,0.8192,6.5,-0.048739,disco
0.85174,5.75,-0.2,0.82406,6.625,-0.020651,disco
0.87346,5.875,-0.14288,0.82406,6.625,-0.020651,disco
0.87346,5.875,-0.14288,0.81483,6.625,-0.007331,disco
0.83105,6,-0.18946,0.81845,6.75,0.023569,disco
0.82188,5.875,-0.18497,0.8192,6.5,-0.048739,disco
0.87346,5.875,-0.14288,0.83745,6.125,-0.10734,disco
0.87346,5.875,-0.14288,0.81944,6.5,-0.020504,disco
0.85174,5.75,-0.2,0.81944,6.5,-0.020504,disco
0.88135,5.75,-0.13591,0.82406,6.625,-0.020651,disco
0.83105,6,-0.18946,0.81845,6.75,0.023569,disco
0.83105,6,-0.18946,0.81944,6.5,-0.020504,disco
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.82188,5.875,-0.18497,0.82406,6.625,-0.020651,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.83105,6,-0.18946,0.81002,6.75,0.034685,disco
0.90278,5.625,-0.12816,0.82406,6.625,-0.020651,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,disco
0.81116,6.125,-0.10813,0.81845,6.75,0.023569,hiphop
0.87346,5.875,-0.14288,0.81944,6.5,-0.020504,hiphop
0.81116,6.125,-0.10813,0.81845,6.75,0.023569,hiphop
0.87346,5.875,-0.14288,0.81845,6.75,0.023569,hiphop
0.87346,5.875,-0.14288,0.81944,6.5,-0.020504,hiphop
0.87346,5.875,-0.14288,0.8373,6.25,-0.080612,hiphop
0.82882,5.875,-0.18497,0.81944,6.5,-0.020504,hiphop
0.83105,6,-0.18946,0.81944,6.5,-0.020504,hiphop
0.87346,5.875,-0.14288,0.81944,6.5,-0.020504,hiphop
0.87346,5.875,-0.14288,0.81944,6.5,-0.020504,hiphop
0.83105,6,-0.18946,0.82257,6.375,-0.057279,hiphop
0.83105,6,-0.18946,0.8192,6.5,-0.048739,hiphop
0.83105,6,-0.18946,0.82257,6.375,-0.057279,hiphop
0.83105,6,-0.18946,0.82257,6.375,-0.057279,hiphop
0.82188,5.875,-0.18497,0.81964,6.5,-0.048739,hiphop
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,hiphop
0.81116,6.125,-0.10813,0.81964,6.5,-0.048739,hiphop
0.83105,6,-0.18946,0.8192,6.5,-0.048739,hiphop
0.82188,5.875,-0.18497,0.81964,6.5,-0.048739,hiphop
0.82188,5.875,-0.18497,0.81964,6.5,-0.048739,hiphop
0.87346,5.875,-0.14288,0.82406,6.625,-0.020651,hiphop
0.85174,5.75,-0.2,0.81964,6.5,-0.048739,hiphop
0.85174,5.75,-0.2,0.83745,6.125,-0.10734,hiphop
0.85174,5.75,-0.2,0.81944,6.5,-0.020504,hiphop
0.87346,5.875,-0.14288,0.82257,6.375,-0.057279,hiphop
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,hiphop
0.85174,5.75,-0.2,0.81964,6.5,-0.048739,hiphop
0.90278,5.625,-0.12816,0.81944,6.5,-0.020504,hiphop
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,hiphop
0.87346,5.875,-0.14288,0.81964,6.5,-0.048739,hiphop
